shipping_id,destination,shipping_date,delivery_date
81,"7751 Debra Walk
New Elizabethfort, MP 65540",2024-07-30 20:37:07.079424,2024-02-13 02:50:17.211231
82,"6056 Patterson Mission
Lake Jenniferville, AS 21647",2024-03-12 07:43:51.770918,2024-09-11 02:44:16.228853
83,"PSC 2354, Box 9172
APO AA 78593",2024-05-28 01:04:40.730744,2024-08-25 15:12:56.108072
84,"476 Robinson Villages
South Calebmouth, AZ 62160",2024-03-18 14:37:52.992752,2024-08-08 13:36:22.859797
85,"504 Foley Mount
Port Karen, NV 79751",2024-05-18 16:02:36.511634,2024-05-18 16:12:14.646228
86,"468 Lauren Springs
Barrystad, SD 13178",2024-05-24 10:19:39.287801,2024-07-29 08:29:51.207997
87,"8189 Williams Rapid
Guzmanbury, GU 23892",2024-04-19 17:46:17.525990,2024-09-17 16:12:46.805986
88,"78191 Jackson Fork Suite 131
Chungville, MD 04884",2024-04-19 14:48:50.431807,2024-07-01 12:19:04.994705
89,"63888 Holt Burg
Mooreland, NM 27018",2024-07-05 23:16:21.613424,2024-06-21 19:07:33.002196
90,"22373 Williams Mews
Michaelport, TN 04993",2024-08-07 21:46:19.829939,2024-08-27 00:59:01.801815
91,"Unit 5294 Box 0621
DPO AA 10500",2024-02-17 11:25:33.325964,2024-04-04 10:56:52.636121
92,"322 Jordan Plaza
Robersontown, CT 55117",2024-03-04 19:04:35.490105,2024-05-08 10:22:58.127718
93,"325 Mckay Wall Suite 896
Samanthaside, MS 15452",2024-05-09 17:41:22.628724,2024-04-03 08:33:44.286808
94,"29760 Williams Well Suite 875
Stephanieside, HI 99406",2024-04-12 05:57:50.403553,2024-09-19 18:16:34.490514
95,"176 Watson Rapid Suite 297
North Justinchester, MT 62191",2024-07-18 04:59:54.378433,2024-03-25 15:43:08.907304
96,"USCGC Johnson
FPO AP 16997",2024-07-04 02:19:36.968153,2024-02-13 22:14:08.462773
97,"054 Alexandra Loaf
South Lori, IL 40120",2024-08-28 06:27:27.464346,2024-09-19 06:09:51.164485
98,"64074 Sanders Route Suite 193
Sethmouth, MO 53983",2024-08-11 03:41:14.351327,2024-06-14 15:24:17.681195
99,"84188 Reid Ports
New Lisaborough, GU 89482",2024-07-22 12:39:53.412388,2024-05-29 05:36:16.878400
100,"424 Petersen Heights
North Tammy, HI 65600",2024-07-05 07:51:45.164621,2024-05-10 02:29:39.085916
101,"13245 Bryan Bypass
Rebeccafurt, CO 72402",2024-05-24 06:17:15.322650,2024-07-11 00:40:19.248485
102,"PSC 2669, Box 3982
APO AP 71179",2024-09-02 08:57:35.390009,2024-01-16 01:26:39.083329
103,"98907 Jones Turnpike Apt. 005
Port Jeremiahland, AR 27601",2024-05-09 05:30:59.694929,2024-05-05 15:52:35.415754
104,"05920 Turner Alley
New Karen, AL 64697",2024-05-24 10:23:10.490514,2024-03-04 23:37:09.848508
105,"450 Mckinney Bypass Suite 651
New Rebecca, DC 50208",2024-04-05 13:52:01.610353,2024-06-13 02:45:47.495253
106,"187 Seth Neck Suite 637
East Pamelabury, WY 67388",2024-04-16 22:43:33.002541,2024-08-01 02:42:53.021574
107,"3800 Rhodes Mills
Lake Valerie, MS 66138",2024-09-06 17:37:29.496595,2024-06-02 04:26:31.349462
108,"Unit 1269 Box 0299
DPO AE 65977",2024-08-21 17:45:28.522420,2024-09-08 17:56:22.106989
109,"896 Jones Curve Suite 033
New Connie, SC 91064",2024-05-24 20:43:36.924991,2024-01-08 11:05:00.213219
110,"27209 Shannon Gardens Apt. 154
Tanyaton, NH 24820",2024-03-05 09:56:58.271027,2024-08-07 03:34:31.617442
111,"PSC 5527, Box 9612
APO AA 94218",2024-03-23 04:26:10.798827,2024-08-07 03:01:47.675469
112,"476 Sweeney Ferry Apt. 481
Perezfurt, PR 73526",2024-09-15 10:16:22.873482,2024-06-13 10:16:00.714522
113,"3788 Michael Village
Port Annastad, AZ 49486",2024-04-25 13:56:28.804324,2024-08-11 08:55:45.946780
114,"036 Williams Shoal
Timothyhaven, AS 73692",2024-02-21 09:18:37.734590,2024-05-11 16:57:15.247405
115,"14189 David Cove Suite 204
East Donnaville, WY 83245",2024-09-10 10:37:27.093326,2024-04-15 16:51:25.082657
116,"676 Gonzalez Green Apt. 045
Hollowayborough, NE 56331",2024-08-02 14:28:59.993903,2024-05-15 04:26:33.004072
117,"Unit 3136 Box 2942
DPO AA 51415",2024-09-22 09:20:34.946942,2024-04-20 12:35:43.481322
118,"406 Zachary Inlet
Danielside, MT 68895",2024-03-31 17:15:31.944096,2024-05-22 17:12:19.710524
119,"USCGC Nelson
FPO AP 82636",2024-04-19 21:00:48.655699,2024-05-04 03:59:59.593136
120,"947 Wells Plaza Apt. 574
Timothyberg, FL 55791",2024-01-19 17:08:03.948850,2024-08-29 23:02:36.193719
121,"582 Curtis Rue Suite 168
Bradyburgh, WI 45366",2024-03-01 06:15:25.563204,2024-08-09 00:00:57.511756
122,"99814 Brown Drive
Heatherville, NE 77334",2024-01-27 07:05:39.702991,2024-09-12 10:50:04.833866
123,"216 Hahn Pine Apt. 537
West Coryberg, NY 69274",2024-09-20 22:35:03.025511,2024-09-15 15:15:05.018590
124,"07797 Wilson Haven
East Elizabethshire, HI 28157",2024-02-17 01:46:56.413753,2024-01-13 01:53:10.861471
125,"8371 Johnson Fall Apt. 788
Knightmouth, KS 87750",2024-07-24 08:02:37.311334,2024-09-07 16:53:59.101205
126,"368 Owen Square
West Whitneytown, FM 14242",2024-03-04 15:53:11.484076,2024-07-09 19:45:05.386865
127,"Unit 3160 Box 5525
DPO AP 75418",2024-06-16 18:53:17.250989,2024-09-11 09:41:40.064073
128,"70954 Russell Trail Apt. 394
South Lindaton, ME 69082",2024-07-28 01:01:13.496685,2024-02-21 19:01:11.721144
129,"0584 Christopher Shoals
North Kennethmouth, DC 88027",2024-06-15 21:40:53.386286,2024-02-20 22:49:30.314587
130,"1235 Frederick Coves
Myersville, KY 36037",2024-01-19 03:23:04.643811,2024-04-27 14:45:56.390613
131,"684 Heather Ramp Suite 865
Hollyfort, MP 59659",2024-05-03 20:36:47.592107,2024-07-22 19:46:59.165301
132,"23623 Vanessa Fords Apt. 528
Maryside, ID 41538",2024-01-11 03:15:38.309849,2024-04-21 03:36:02.051609
133,"29952 Joseph Prairie
Jesseberg, HI 18413",2024-06-28 20:46:35.609979,2024-03-14 09:41:40.651730
134,"1871 Jonathan Viaduct
West Yolanda, PA 14778",2024-02-05 02:51:49.689233,2024-01-25 02:46:11.607740
135,"251 Victor Falls
Garnerfort, CA 83499",2024-05-13 05:06:58.868382,2024-04-23 20:15:32.694762
136,"664 Joseph Mills Suite 454
Benjaminshire, GA 27018",2024-06-02 02:50:02.199491,2024-02-13 18:57:02.225849
137,"40832 Sampson Via
Sonyafurt, OK 02597",2024-08-05 05:24:46.225434,2024-03-17 08:32:26.477314
138,"1783 Murphy Roads Suite 220
East Donna, WV 31322",2024-09-01 21:28:24.101318,2024-05-14 17:41:48.324977
139,"63104 Crystal Crest
Lake Ruth, WV 05108",2024-02-17 22:44:40.457492,2024-07-14 21:23:19.710201
140,"PSC 2179, Box 3387
APO AP 01783",2024-04-03 22:41:38.968701,2024-03-02 13:35:23.175552
141,"67877 Vanessa Ville
Port Jeffreyland, MI 89423",2024-07-07 06:01:39.816216,2024-07-29 09:04:46.124890
142,"578 Robert River
Jessicaside, ND 88128",2024-02-15 06:27:49.189933,2024-04-23 05:02:11.019938
143,"485 Kellie Center
Smithburgh, AK 16854",2024-05-25 18:35:02.999967,2024-08-10 19:04:39.108822
144,"05960 Thomas Crossroad Apt. 026
South Juliashire, FL 64501",2024-05-03 05:12:40.053510,2024-08-14 02:50:04.697486
145,"USNS Cervantes
FPO AA 17299",2024-04-15 08:41:16.721406,2024-04-30 03:28:22.348544
146,"982 Cook Burg
East Matthewfurt, CA 45621",2024-02-06 19:45:19.513410,2024-06-17 13:21:52.668875
147,"55139 Thompson Burgs Suite 830
Loweryside, MD 86784",2024-01-21 19:10:35.918787,2024-02-15 02:41:06.281065
148,"1878 Michael Curve Suite 011
Emilyland, AZ 00676",2024-08-09 17:41:52.402582,2024-07-04 22:25:55.102211
149,"4888 Linda Terrace
New Edward, CT 08501",2024-02-03 07:09:43.927748,2024-05-15 18:30:37.050172
150,"1993 Tyrone Walks
Edwardstad, ID 50827",2024-08-30 20:28:01.025447,2024-03-13 10:43:29.175265
151,"365 Andrea Freeway Suite 463
New Scott, MD 25380",2024-06-25 01:18:41.112064,2024-08-24 00:50:06.523399
152,"52006 Ryan Row
Elizabethmouth, LA 57816",2024-09-09 14:08:30.441231,2024-06-07 06:03:03.033441
153,"704 Sarah Cove Apt. 605
Fernandotown, PR 08144",2024-09-22 21:00:19.006395,2024-05-09 23:23:34.890456
154,"261 Derrick Pass
Port Kristenfurt, IN 63332",2024-06-13 12:48:31.161239,2024-01-24 01:50:09.060497
155,"Unit 8707 Box 8516
DPO AA 51416",2024-05-25 02:04:41.040535,2024-01-24 00:09:32.843850
156,"Unit 6544 Box 6796
DPO AP 97105",2024-01-12 04:41:35.254182,2024-06-13 06:11:29.464142
157,"2253 King Trafficway Suite 545
North Seth, AS 89961",2024-05-28 15:20:54.859386,2024-08-03 04:17:14.911455
158,"581 Crawford Skyway
Amandaberg, TX 07711",2024-06-27 05:02:37.182377,2024-05-28 23:31:44.290425
159,"21407 Travis Fort Suite 270
Gonzalesshire, FM 68149",2024-05-16 23:13:49.891679,2024-04-07 09:56:51.377021
160,"144 Craig Forks
Rachelshire, OK 35672",2024-05-20 00:21:26.976262,2024-09-19 10:22:09.175810
161,"7694 Kristi Cliff
Rogersstad, GU 11773",2024-05-02 08:35:13.540178,2024-04-03 08:04:17.011547
162,"27132 Butler Flat
Brittanyland, VA 20104",2024-05-09 04:40:11.516706,2024-05-20 00:33:11.414078
163,"66687 Renee Ports Apt. 017
North Mark, MA 50913",2024-07-09 03:06:42.269571,2024-06-16 03:38:41.098291
164,"847 Robert Tunnel
Lake Lisa, PW 69487",2024-01-03 11:32:30.244051,2024-02-19 13:33:31.181191
165,"52388 James Walks
Port Allisontown, VA 53322",2024-07-24 20:16:53.894161,2024-01-03 09:29:46.174145
166,"48368 Daniel Fall
Port Melissa, WA 50245",2024-09-12 13:20:17.305511,2024-06-30 04:03:26.953621
167,"870 Wagner Plain
Martinezborough, MS 79583",2024-04-08 08:23:38.207112,2024-02-11 20:01:43.453368
168,"6033 Kathryn Coves Apt. 452
Lake Timothyfurt, PW 97092",2024-01-18 07:56:04.060285,2024-05-04 07:04:20.745227
169,"614 Tracy Track
Lake Kellybury, FM 26433",2024-08-10 09:18:35.780935,2024-09-04 12:21:38.219408
170,"4718 Michele Greens Apt. 042
Wilkinsontown, AS 26907",2024-01-11 04:35:50.200281,2024-02-20 15:42:37.049314
171,"175 Jared Flat
Lake Christopher, DE 92334",2024-03-11 12:58:05.152463,2024-05-27 14:33:57.482024
172,"04051 Sarah Lake
New Joseberg, PW 28272",2024-09-23 04:07:51.764515,2024-08-31 04:35:41.503851
173,"3099 Robert Tunnel Suite 282
Sydneyburgh, PR 48802",2024-02-13 11:36:13.966662,2024-01-03 21:47:35.484052
174,"425 Harper Crescent Suite 981
Wrightstad, NC 02479",2024-04-18 21:28:52.751871,2024-09-01 03:12:45.721149
175,"157 Johnson Garden
Townsendfort, IA 92418",2024-01-23 03:54:18.526343,2024-05-23 19:03:35.939147
176,"401 Amber Point Apt. 579
Lopezbury, CO 39048",2024-06-11 06:42:53.516423,2024-08-20 22:43:39.809352
177,"PSC 2627, Box 4963
APO AP 89325",2024-08-01 04:20:50.685548,2024-04-05 16:57:05.696065
178,"17168 Bernard Estate Suite 806
Danielleview, ND 09313",2024-03-05 18:27:26.154228,2024-02-04 17:56:37.418389
179,"PSC 4388, Box 3848
APO AP 29474",2024-01-28 02:16:03.019522,2024-09-18 15:13:18.641708
180,"10025 Amanda Flat Suite 349
North Michealhaven, VA 69974",2024-04-21 12:31:17.555078,2024-05-13 02:32:50.552091
181,"99945 Brown Dale Apt. 670
Lisaland, KY 75882",2024-02-29 04:10:51.099687,2024-07-15 06:44:11.957001
182,"USS Robinson
FPO AE 21177",2024-03-25 13:49:53.639464,2024-02-10 15:02:51.816631
183,"Unit 3318 Box 4870
DPO AE 24303",2024-02-29 18:46:53.892211,2024-07-11 16:41:08.052582
184,"6676 Rollins Parks Suite 264
Davisfort, FM 40110",2024-09-04 23:48:45.211740,2024-03-24 08:07:30.149422
185,"12786 Weaver Way
North Jason, CT 28885",2024-06-22 22:15:58.607614,2024-07-27 02:30:51.203360
186,"45060 Steven Estates
Brucetown, KS 03245",2024-05-19 06:15:50.412776,2024-05-29 18:43:45.905974
187,"0389 Robert Greens
East Pamela, PW 18385",2024-01-29 13:36:35.546726,2024-08-29 19:13:47.217722
188,"5986 Le Row
East Jon, AL 00535",2024-01-28 13:57:06.160779,2024-03-21 15:17:06.991933
189,"47937 Ramirez Rapids Suite 531
South Tamara, RI 50958",2024-09-19 08:57:43.527591,2024-04-14 13:51:15.977381
190,"Unit 2317 Box 5092
DPO AP 53746",2024-06-13 16:12:15.281587,2024-05-30 14:03:45.969657
191,"694 Tammy River Suite 530
Dennisview, AZ 62651",2024-03-10 18:35:22.128311,2024-01-22 22:29:49.227512
192,"60598 Morgan Stravenue Apt. 084
Stevenstad, SD 51383",2024-05-11 01:30:45.864568,2024-06-09 04:58:05.252696
193,"01849 Barnes Road Suite 216
Snyderhaven, PW 57342",2024-06-23 04:07:33.502477,2024-09-18 01:58:00.290696
194,"874 Ellis Rapids
East Jessica, VT 82433",2024-07-24 11:42:18.086295,2024-09-22 10:01:31.583056
195,"57527 Lindsay Well Apt. 668
Gregoryville, KY 63300",2024-07-14 19:48:38.426020,2024-05-20 00:20:18.245370
196,"765 Johnson Roads
Lake Cheyenne, VA 95632",2024-08-26 10:54:28.373826,2024-03-25 10:51:19.177465
197,"9604 Rhonda River
Lake Codyport, WV 45396",2024-09-22 10:51:19.011016,2024-08-05 23:16:08.899190
198,"39624 Henson Mountains
Bradfordland, OH 56842",2024-06-04 23:13:10.461936,2024-07-31 22:24:04.603687
199,"5743 John Cliffs Apt. 189
Bryanland, CT 98547",2024-09-03 21:10:36.705246,2024-03-15 10:46:16.990574
200,"6397 Carter Fields Apt. 277
South Garystad, MH 98666",2024-01-06 03:19:45.102966,2024-07-24 07:53:13.833444
201,"USCGC Burns
FPO AE 78953",2024-08-15 22:40:46.139565,2024-07-26 02:39:08.087721
202,"1186 Daniel Track Suite 517
Smithhaven, MT 29786",2024-01-15 14:45:02.616170,2024-03-15 22:33:50.747534
203,"80377 Lorraine Drive
Jamiechester, AL 12164",2024-05-26 09:21:00.072312,2024-05-19 06:01:44.544962
204,"230 Chen Parkway
Lake Stevebury, VT 02490",2024-06-28 10:43:33.636081,2024-01-16 22:26:00.148345
205,"4603 Taylor Union
Shannonhaven, DC 69646",2024-03-17 16:59:18.569203,2024-08-15 22:59:47.501130
206,"250 Finley Haven
South Renee, WV 92509",2024-01-16 07:20:35.510014,2024-09-16 09:55:05.713274
207,"1719 Heather Flat Suite 814
Devinside, PR 73802",2024-05-14 05:46:27.600775,2024-04-17 10:07:45.096404
208,"2445 Martin Center
Georgeshire, DC 31762",2024-04-07 21:58:38.241937,2024-05-16 03:06:11.945396
209,"9301 Kevin Wells Suite 652
West Shannonside, IL 14574",2024-05-02 13:59:35.448030,2024-03-18 22:53:18.815824
210,"USS Sullivan
FPO AE 87035",2024-09-07 03:05:03.605983,2024-09-03 20:03:57.413087
211,"PSC 4273, Box 1164
APO AP 35169",2024-01-25 14:05:40.739022,2024-03-14 18:41:25.430607
212,"8014 Morse Extensions
Lake Kennethmouth, ME 65168",2024-01-16 21:55:27.419604,2024-02-17 02:00:18.388037
213,"491 Christopher Circle Apt. 356
New Samantha, MN 76041",2024-01-06 12:52:29.984833,2024-01-07 04:26:04.721128
214,"1152 Manuel Shores Apt. 216
West Nathanton, ID 36574",2024-05-31 16:00:17.557057,2024-08-22 15:06:21.145357
215,"92653 Fowler Bridge
Robinsonburgh, VT 36628",2024-01-16 22:41:27.143161,2024-08-17 09:57:25.876672
216,"6664 Hicks Branch Apt. 954
Williamsborough, AR 89560",2024-01-23 10:51:42.361408,2024-08-04 21:11:17.916142
217,"8167 Benson Rest Suite 880
East Kevin, MI 48657",2024-04-24 05:41:24.685740,2024-05-03 07:43:35.510638
218,"360 Reginald Roads Suite 179
Patriciaton, NJ 73457",2024-01-09 20:23:27.388279,2024-04-15 12:36:24.176888
219,"8115 Ashley Row
Port Tara, DE 20851",2024-06-13 23:10:37.316641,2024-05-21 06:12:50.977042
220,"4466 Olson Stravenue Apt. 227
South Zacharyfurt, AS 29040",2024-08-30 07:36:15.088120,2024-05-07 20:33:08.296358
221,"915 Heidi Ranch Apt. 995
New Cynthialand, AS 12435",2024-03-13 03:51:55.136674,2024-01-26 08:12:29.335475
222,"Unit 1860 Box 7875
DPO AA 13526",2024-05-21 00:21:08.305343,2024-09-13 17:20:40.625378
223,"394 Matthew Streets
West Matthewchester, VI 52327",2024-06-28 22:32:55.680023,2024-06-20 07:11:23.931482
224,"33514 Joshua Rue Suite 613
Lisabury, UT 48015",2024-09-21 13:58:17.800822,2024-05-04 05:12:08.103375
225,"PSC 5595, Box 7933
APO AE 90528",2024-09-14 17:40:29.909307,2024-08-10 11:33:46.057746
226,"Unit 3045 Box 2991
DPO AP 76631",2024-07-22 05:20:43.880667,2024-05-15 00:08:11.742585
227,"485 Oconnell Prairie
Port Kim, MP 77197",2024-01-23 14:48:50.933515,2024-07-25 00:19:23.057964
228,"897 Vargas Vista
New Pamela, WI 03421",2024-01-05 05:06:22.795888,2024-07-06 17:28:12.892580
229,"45813 Brendan Points
Bradleystad, LA 49608",2024-02-19 02:05:08.100820,2024-07-31 10:13:58.882885
230,"240 Castillo Summit Suite 345
Adkinsview, AZ 65432",2024-01-07 17:16:18.093512,2024-02-24 21:26:24.730691
